Mistake, Did not make the slot and time configurable via environment variables. The code was hardcoded to 2 slots and 1 second timeout
Worker, 2
slots,timeout,work_score,risk_p95_ms,error_rate,qualified
1,0.6,274669,1381.7452925,0.06552718010590522,no
1,0.8,272138,1327.7488014499997,0.0674824799291142,no
3,0.6,283498,1307.3439295,0.06689023955164339,no
3,0.8,284532,1310.639573,0.06668993059594432,no
6,0.6,282792,1308.7048032,0.06711056597161381,no
6,0.8,279146,1379.1128228,0.06699177801292121,no
7,0.6,278048,1372.2744831999996,0.0671912832929782,no
7,0.8,284908,1314.0154854,0.06623287274878317,no
Worker, 1
slots,timeout,work_score,risk_p95_ms,error_rate,qualified
1,0.6,374845,1313.63442625,0.06145504068023177,no
1,0.8,338174,1316.9740138,0.07077440756789359,no
3,0.6,317772,1477.4940792,0.06653031830620769,no
3,0.8,343399,1322.8041114999999,0.06942450394164576,no
6,0.6,346924,1318.1749095,0.06871314457780937,no
6,0.8,345227,1314.4811645999998,0.06941026773508319,no
7,0.6,343367,1319.072753,0.06862412730027227,no
7,0.8,351277,1311.6245945,0.06793002765847175,no

Since we did not see much improvement with slot 8 and low timeout
worker, 1 
slots,timeout,work_score,risk_p95_ms,error_rate,qualified
6,0.8,327949,1788.9733056000005,0.07491043259718731,no
6,1,313099,2006.3075072999995,0.06460971243212583,no
6,1.2,288661,2270.45039555,0.06385606839596712,no
7,0.8,346367,1825.4125364999998,0.07175825132805017,no
7,1,325175,2013.219436849999,0.06560836383591404,no
7,1.2,298987,2333.8466575,0.059416762517237216,no
9,0.8,326377,2120.756250399999,0.07235315268198607,no
9,1,313446,2293.4855322000003,0.0638139346363154,no
9,1.2,296708,2436.3397125999995,0.05554645793076344,no
=== All results (also saved to sweep-results.csv) ===
slots  timeout  wait_timeout  work_score  risk_p95_ms         error_rate           qualified
2      0.8      1.6           189512      1717.4811720999999  0.08604494989577974  no
5      0.8      1.6           199267      2378.014708499999   0.08695330118022748  no
